Intake number,Address,Manual Status,Status,Verification
26,14136 CITADEL WAY MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
27,14784 GLENWOOD DR MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
28,5975 MAXWELL DR #26 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
29,1335 BENNETT RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
30,13664 FRITZ CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
31,14578 COLTER WAY MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
32,5507 GARDEN VIEW LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
33,5507 GARDEN VIEW LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
34,6283 DIAMOND AVE PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
35,14668 HOLMWOOD DR MAGIALA CA 95484,No Visible Damage,No Visible Damage,match
36,5838 BLACK OLIVE DR #12 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
37,13796 W PARK MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
38,5935 LEGACY LN PARADISE CA 95969,No Visible Damage,Destroyed (>50%),mismatch
39,552 BOQUEST BLVD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
40,899 WAGGONER RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
41,916 PEARSON RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
42,995 MAPLE PARK DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
43,665 BROOKHAVEN DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
44,5883 COPELAND RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
45,1575 WAGSTAFF RD PARADISE CA 95965,Destroyed (>50%),Destroyed (>50%),match
46,4676 LONG BEACH BL 205 LONG BEACH CA 90805,,No Visible Damage,unverified
47,14905 SKWY MAGALIA CA 95954,Affected (1-9%),No Visible Damage,mismatch
48,6421 GREGORY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
49,2875 ESKIN MAIDU TRL CHICO CA 95928,Destroyed (>50%),Destroyed (>50%),match
50,5791 INGALLS RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
51,6468 MOSS LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
52,300 BURDEN TER PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
53,5842 JAMES DR #C PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
54,14548 COLTER WAY MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
55,1390 BENNETT RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
56,1260 BILLE RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
57,6780 INDEAN DR #1 MAGALIA CA 95954,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
58,828 ELLIOTT RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
59,5809 PENTZ RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
60,5885 PENTZ RD #A PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
61,14100 WYCLIFF WAY MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
62,830 BUSCHMANN RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
63,1080 PEARSON RD #19 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
64,136 COAST RANGE LN PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
65,5609 MALLAN LN PARADISE CA 95969-5005,Destroyed (>50%),Destroyed (>50%),match
66,5550 ERIN WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
67,13634 W PARK DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
68,13503 S PARK DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
69,5268 SCOTTWOOD RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
70,737 CAMELLIA DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
71,5955 HAZEL WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
72,5220 CALIFORNIA WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
73,5951 N LIBBY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
74,5436 CLARK RD #24 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
75,1525MOR-DELL RD PARADISE CA 95069,Destroyed (>50%),Destroyed (>50%),match
76,5602 FOLAND RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
77,1115 NUNNELEY RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
78,1209 LURENA LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
79,13574 ANDOVER DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
80,6615 GRANDVIEW AVE MAGALIA CA 95954,,No Visible Damage,unverified
81,14094 TEMPLE CIR MAGALIA CA 95954,,Uncertain (Nearby features vary in damage),unverified
82,1427 STONEHURST DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
83,14723 CARNEGIE RD MAGALIA CA 95954,,No Visible Damage,unverified
84,1466 JONES LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
85,1761 SILVERTHERNE LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
86,6242 PUEBLO DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
87,1818 APPLE VIEW WAY PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
88,14063 TEMPLE CIR MAGALIA CA 95954,No Visible Damage,Affected (1-9%),mismatch
89,14196 DECATUR DR MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
90,13762 GRANADA DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
91,1349 TAYLOR LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
92,5554 MARK LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
93,14012 DREXEL DR MAGALIA CA 95954,No Visible Damage,Destroyed (>50%),mismatch
94,1040 buschmaN RD #54 PARADISE CA 95969,,Destroyed (>50%),unverified
95,1239 ELLIOT RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
96,14401 CARNEGIE RD MAGALIA CA 95954,,No Visible Damage,unverified
97,14060 WYCLIFF WAY MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
98,6 PHEASANT RIDGE CT PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
99,1383 BILLE RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
100,6323 FOREST LN PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
101,1441 KILCREASE CIR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
102,5489 S LIBBY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
103,6456 RANGEr CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
104,5565 TRAVIS RD PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
105,1368 WAGSTAFF RD #A PARIDISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
106,6222 SALK CT MAGALIA CA 95954,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
107,6107 CLARK RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
108,6545 LUCKY JOHN RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
109,6107 CLARK RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
110,1019 MAPLE PARK DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
111,895 BILLE RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
112,13880 NIMSHEW RD MAGALIA CA 95954,,No Visible Damage,unverified
113,5476 SCOTTWOOD RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
114,5996 SAWMILL RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
115,14360 SKWY #A9 MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
116,703 FIR ST PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
117,6656 PENTZ RD #37 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
118,1230 ELLIOTT RD #26 PARADISE CA 95969,No Visible Damage,Destroyed (>50%),mismatch
119,3837 NEAL RD PARADISE CA 95969-5717,Destroyed (>50%),Destroyed (>50%),match
120,1040 BUSCHMANN RD #53 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
121,5393 SAWMILL RD #34 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
122,14806 WILDLIFE DR MAGALIA CA 95954,,No Visible Damage,unverified
123,5263 COUNTRY CLUB DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
124,61 VISTA VILLAGE DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
125,6082 DANA CIR MAGALIA CA 95954,,No Visible Damage,unverified
126,1470 BAILEY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
127,685 MEMORIAL WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
128,5889 OAKMORE DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
129,14711 WOOD ST MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
130,1629 PARADISEWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
131,5889 OAKMORE DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
132,5975 MAXWELL DR #30 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
133,6173 SAWMILL RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
134,2226 HONEY RUN RD CHICO CA 95928,No Visible Damage,Destroyed (>50%),mismatch
135,5630 EVES LN CHICO CA 95928,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
136,5269 S LIBBY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
137,661 ELLIOTT RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
138,1835 ARROWHEAD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
139,823 THOMASSON LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
140,1621 GATE LN PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
141,6786 INDIAN DR #B MAGALIA CA 95954,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
142,14709 HOLMWOOD DR MAGALIA CA 95954,,No Visible Damage,unverified
143,1774 SILVERTHORNE AVE PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
144,916 PEARSON RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
145,3859 HONEY RUN RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
146,6185 BERKSHIRE WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
147,14647 BRIDGEPORT CIR MAGALIA CA 95954,,No Visible Damage,unverified
148,5401 SAWMILL RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
149,6288 SKWY PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
150,6438 PERRY RD MAGAILA CA 95954,,No Visible Damage,unverified
151,14360 SKWY #C8 MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
152,14360 SKWY #C8 MAGALIA CA 95954,,Uncertain (Nearby features vary in damage),unverified
153,6438 PERRY RD MAGAILA CA 95954,,No Visible Damage,unverified
154,350 STARLIGHT CT PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
155,XXX Paradise CA 12345,,Uncertain (Nearby features vary in damage),unverified
156,4906 FOSTER RD PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
157,13511 ADRIAN DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
158,13511 ADRIAN DR MAGALIA CA 95954,,Destroyed (>50%),unverified
159,6655 NEDRY DR PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
160,1452 STONEHURST DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
161,13390 MIDDLESPRINGS RD OROVILLE CA 95965,,Uncertain (Nearby features vary in damage),unverified
162,5000 MALIBU DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
163,1452 STONEHURST DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
164,6655 NEDRY DR PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
165,2920 CLARK RD #K2 OROVILLE CA 95965,No Visible Damage,No Visible Damage,match
166,14360 SKWY MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
167,3997 SKYVIEW DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
168,13477 GILIFILIAN DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
169,2920 CLARK RD #K12 OROVILLE CA 95965,No Visible Damage,No Visible Damage,match
170,869 CENTRAL PARK DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
171,14360 SKWY MAGALIA CA 95954,,Uncertain (Nearby features vary in damage),unverified
172,5446 BLACK OLIVE DR #10 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
173,2920 CLARK RD #E9 BUTTE VALLEY CA 95965,,No Visible Damage,unverified
174,6469 CLARK RD PARADISE CA 95969,No Visible Damage,Destroyed (>50%),mismatch
175,14360 SKWY MAGALIA CA 95954,,Uncertain (Nearby features vary in damage),unverified
176,8279 SKWY PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
177,5776 BLACK OLIVE DR #3 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
178,6433 MOSS LN PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
179,5570 FOLAND RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
180,1200 ALTA CEDAR DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
181,6260 PONDEROSA WAY MAGAILA CA 95954,Destroyed (>50%),Destroyed (>50%),match
182,4200 PINE CLUSTER LN OROVILLE CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
183,6040 PECK LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
184,738 MADRONE WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
185,5773 FOSTER RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
186,14753 BRIARWOOD DR MAGALIA CA 95954,,No Visible Damage,unverified
187,14116 RACINE CIR MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
188,6020 PECK LN #A PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
189,4318 BIG BeND RD #24 OROVILLE CA 95965,Destroyed (>50%),No Visible Damage,mismatch
190,5616 JEWELL RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
191,4318 BIG BeND RD #5 OROVILLE CA 95965,Destroyed (>50%),No Visible Damage,mismatch
192,4318 BIG BeND RD #5 OROVILLE CA 95965,,No Visible Damage,unverified
193,4200 PINE CLUSTER LN OROVILLE CA 95965,,Uncertain (Nearby features vary in damage),unverified
194,5374 EDGEWOOD LN #C PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
195,1423 WOLF LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
196,1641 TIMBER WALK WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
197,2119 HONEY RUN RD CHICO CA 95928,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
198,1287 CLARK RD PARADISE CA 95916,Destroyed (>50%),Destroyed (>50%),match
199,1423 WOLF LN PARADISE CA 95969,,Destroyed (>50%),unverified
200,7726 SKWY #41 PARADISE CA 95969-3360,Destroyed (>50%),No Visible Damage,mismatch
201,14748 MASTERSON WAY MAGALIA CA 95954,,No Visible Damage,unverified
202,JORDAN HILL RD #43 MAGALIA CA 95954,,No Visible Damage,unverified
203,6075 WESTCHESTER WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
204,650 SUNSET DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
205,6177 GREENWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
206,6174 GREENWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
207,14467 HOLMWOOD DR MAGALIA CA 95954,,No Visible Damage,unverified
208,14467 HOLMWOOD DR MAGALIA CA 95954,,No Visible Damage,unverified
209,14467 HOLMWOOD DR MAGALIA CA 95954,,No Visible Damage,unverified
210,6278 PRENTIS CT MAGALIA CA 95954,Affected (1-9%),Affected (1-9%),match
211,1768 HONEY RUN RD CHICO CA 95928,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
212,5386 SAWMILL RD #a PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
213,17189 SKWY STIRLING CITY CA 95978,,No Visible Damage,unverified
214,1792 DEAN RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
215,5558 NEWLAND RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
216,1641 Timber  WALK WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
217,5819 GOLDEN OAKS RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
218,5819 GOLDEN OAKS RD PARADISE CA 95969,,Destroyed (>50%),unverified
219,6110 GUILFORD CIR MAGALIA CA 95954,,No Visible Damage,unverified
220,14730 WOOD DR MAGALIA CA 95954,,No Visible Damage,unverified
221,5565 LOGAN DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
222,1340 BILLE RD #2 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
223,5533 SCOTTWOOD RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
224,1566 BILLE RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
225,5819 GOLDEN OAKS RD PARADISE CA 95969,,Destroyed (>50%),unverified
226,1528 DELLA LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
227,5935 N LIBBY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
228,5247 EDGEWOOD LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
229,1759 SUNRISE LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
230,6341 HARVEY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
231,5565 HEAVENLY PL PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
232,5921 CAMINO LN #12 PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
233,7174 CLARK RD #4 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
234,6341 HARVEY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
235,1520 FRONTIER RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
236,6230 WYACK CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
237,707 DAMROW LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
238,6799 SKWY #38 PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
239,6131 BOWLES BLVD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
240,5735 REED LN #B PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
241,14360 SKWY MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
242,5454 SAWMILL RD #1 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
243,266 ROE RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
244,14655 SKWY MAGALIA CA 95954,,No Visible Damage,unverified
245,13798 S PARK DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
246,1340 BELLE RD #3 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
247,1135 BILLE RD PARADISE95969 CA 95969,Destroyed (>50%),Destroyed (>50%),match
248,6341 HARVEY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
249,5735 REED LN #A PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
250,6411 LUCKY JOHN RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
251,6220 FOREST LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
252,627 CIRCLEWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
253,5701 NEWLAND RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
254,7726 SKWY #61 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
255,12002 CONCOW RD OROVILLE CA 95965,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
256,1000 ELLIOT RD #J PARADISE CA 95969,No Visible Damage,No Visible Damage,match
257,6078 MCKINNEY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
258,17048 SKWY STIRLING CITY CA 95978,,No Visible Damage,unverified
259,6092 MAXWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
260,1000 ELLIOT RD #J PARADISE CA 95969,No Visible Damage,No Visible Damage,match
261,9289 SKWY #43 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
262,1555 SAWPECK WAY #A PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
263,8764 SKWY #B6 PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
264,800 BILLIE RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
265,1801 STEARNS RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
266,6537 LESLEY CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
267,14143 ELMIRA CIR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
268,17048 SKWY STIRLING CITY CA 95978,,No Visible Damage,unverified
269,17048 SKWY STIRLING CITY CA 95978,,No Visible Damage,unverified
270,5564 ANGEL DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
271,6838 CLARK RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
272,738 MADRONE WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
273,1275 LOVELY LN PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
274,6744 ISHI DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
275,7320 PENTZ RD PARADISE CA 95969,Affected (1-9%),Destroyed (>50%),mismatch
276,6582 ROCKY LN #26 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
277,1680 BANDTAIL LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
278,1354 ELLIOTT RD #20 PARADIES CA 95969,Destroyed (>50%),Destroyed (>50%),match
279,1363 PEARSON RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
280,1363 PEARSON RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
281,1363 PEARSON RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
282,6674 PENTZ RD #40 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
283,1273 ELLIOTT RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
284,327 REDBUD DR PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
285,14865 NORTHWOOD DR MAGALIA CA 95954,,No Visible Damage,unverified
286,1387 AGATE LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
287,6562 WHEELER RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
288,746 ROE RD PARADISE CA 95969,Affected (1-9%),Uncertain (Nearby features vary in damage),uncertain
289,5270 EDGEWOOD LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
290,14070 CRESTON RD MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
291,6265 FERN LN #B PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
292,6314 CHATHAM CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
293,1673 WAGSTAFF RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
294,5738 SCOTTWOOD RD #A PARADISE CA 95968,Destroyed (>50%),Destroyed (>50%),match
295,5607 JEWELL RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
296,14202 WINGATE CIR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
297,1840 DRAYER DR PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
