Intake #,Full Addr,Damage,Notes,Reviewer,interactive map,http://calfire-forestry.maps.arcgis.com/apps/webappviewer/index.html?id=5306cc8cf38c4252830a38d467d33728&extent=-13547810.5486%2C4824920.1673%2C-13518764.4778%2C4841526.1117%2C102100,Street,City,State,Zipcode,temp,Intake #
33,5507 GARDEN VIEW LN PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,5507 GARDEN VIEW LN,PARADISE,CA,95969,5507 GARDEN VIEW LN PARADISE,33
34,6283 DIAMOND AVE PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,6283 DIAMOND AVE,PARADISE,CA,95969,6283 DIAMOND AVE PARADISE,34
35,14668 HOLMWOOD DR MAGIALA CA 95484,No Visible Damage,NA,Ryan,,,14668 HOLMWOOD DR,MAGIALA,CA,95484,14668 HOLMWOOD DR MAGIALA,35
36,5838 BLACK OLIVE DR #12 PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,5838 BLACK OLIVE DR #12,PARADISE,CA,95969,5838 BLACK OLIVE DR #12 PARADISE,36
37,13796 W PARK MAGALIA CA 95954,Destroyed (>50%),"UtilityMiscStructure
",Ryan,,,13796 W PARK,MAGALIA,CA,95954,13796 W PARK MAGALIA,37
38,5935 LEGACY LN PARADISE CA 95969,No Visible Damage,residential,Ryan,,,5935 LEGACY LN,PARADISE,CA,95969,5935 LEGACY LN PARADISE,38
39,552 BOQUEST BLVD PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,552 BOQUEST BLVD,PARADISE,CA,95969,552 BOQUEST BLVD PARADISE,39
40,899 WAGGONER RD PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,899 WAGGONER RD,PARADISE,CA,95969,899 WAGGONER RD PARADISE,40
41,916 PEARSON RD PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,916 PEARSON RD,PARADISE,CA,95969,916 PEARSON RD PARADISE,41
42,995 MAPLE PARK DR PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,995 MAPLE PARK DR,PARADISE,CA,95969,995 MAPLE PARK DR PARADISE,42
43,665 BROOKHAVEN DR PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,665 BROOKHAVEN DR,PARADISE,CA,95969,665 BROOKHAVEN DR PARADISE,43
44,5883 COPELAND RD PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,5883 COPELAND RD,PARADISE,CA,95969,5883 COPELAND RD PARADISE,44
45,1575 WAGSTAFF RD PARADISE CA 95965,Destroyed (>50%),residential,Ryan,,,1575 WAGSTAFF RD,PARADISE,CA,95965,1575 WAGSTAFF RD PARADISE,45
46,4676 LONG BEACH BL 205 LONG BEACH CA 90805,,WRONG ENTRY,Ryan,,,4676 LONG BEACH BL 205 LONG,BEACH,CA,90805,4676 LONG BEACH BL 205 LONG BEACH,46
47,14905 SKWY MAGALIA CA 95954,Affected (1-9%),NA,Ryan,,,14905 SKWY,MAGALIA,CA,95954,14905 SKWY MAGALIA,47
48,6421 GREGORY LN PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,6421 GREGORY LN,PARADISE,CA,95969,6421 GREGORY LN PARADISE,48
49,2875 ESKIN MAIDU TRL CHICO CA 95928,Destroyed (>50%),residential,Ryan,,,2875 ESKIN MAIDU TRL,CHICO,CA,95928,2875 ESKIN MAIDU TRL CHICO,49
50,5791 INGALLS RD PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,5791 INGALLS RD,PARADISE,CA,95969,5791 INGALLS RD PARADISE,50
51,6468 MOSS LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,6468 MOSS LN,PARADISE,CA,95969,6468 MOSS LN PARADISE,51
52,300 BURDEN TER PARADISE CA 95969,Destroyed (>50%),,Bob,,,300 BURDEN TER,PARADISE,CA,95969,300 BURDEN TER PARADISE,52
53,5842 JAMES DR #C PARADISE CA 95969,Destroyed (>50%),,Bob,,,5842 JAMES DR #C,PARADISE,CA,95969,5842 JAMES DR #C PARADISE,53
54,14548 COLTER WAY MAGALIA CA 95954,No Visible Damage,,Bob,,,14548 COLTER WAY,MAGALIA,CA,95954,14548 COLTER WAY MAGALIA,54
55,1390 BENNETT RD PARADISE CA 95969,Destroyed (>50%),,Bob,,,1390 BENNETT RD,PARADISE,CA,95969,1390 BENNETT RD PARADISE,55
56,1260 BILLE RD PARADISE CA 95969,Destroyed (>50%),,Bob,,,1260 BILLE RD,PARADISE,CA,95969,1260 BILLE RD PARADISE,56
57,6780 INDEAN DR #1 MAGALIA CA 95954,Destroyed (>50%),,Bob,,,6780 INDEAN DR #1,MAGALIA,CA,95954,6780 INDEAN DR #1 MAGALIA,57
58,828 ELLIOTT RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,828 ELLIOTT RD,PARADISE,CA,95969,828 ELLIOTT RD PARADISE,58
59,5809 PENTZ RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,5809 PENTZ RD,PARADISE,CA,95969,5809 PENTZ RD PARADISE,59
60,5885 PENTZ RD #A PARADISE CA 95969,No Visible Damage,,Leon,,,5885 PENTZ RD #A,PARADISE,CA,95969,5885 PENTZ RD #A PARADISE,60
61,14100 WYCLIFF WAY MAGALIA CA 95954,No Visible Damage,,Leon,,,14100 WYCLIFF WAY,MAGALIA,CA,95954,14100 WYCLIFF WAY MAGALIA,61
62,830 BUSCHMANN RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,830 BUSCHMANN RD,PARADISE,CA,95969,830 BUSCHMANN RD PARADISE,62
63,1080 PEARSON RD #19 PARADISE CA 95969,Destroyed (>50%),,Leon,,,1080 PEARSON RD #19,PARADISE,CA,95969,1080 PEARSON RD #19 PARADISE,63
64,136 COAST RANGE LN PARADISE CA 95969,No Visible Damage,,Leon,,,136 COAST RANGE LN,PARADISE,CA,95969,136 COAST RANGE LN PARADISE,64
65,5609 MALLAN LN PARADISE CA 95969-5005,Destroyed (>50%),,Leon,,,5609 MALLAN LN PARADISE CA,9,CA,-5005,5609 MALLAN LN PARADISE CA 9,65
66,5550 ERIN WAY PARADISE CA 95969,Destroyed (>50%),,Leon,,,5550 ERIN WAY,PARADISE,CA,95969,5550 ERIN WAY PARADISE,66
67,13634 W PARK DR MAGALIA CA 95954,Destroyed (>50%),,Leon,,,13634 W PARK DR,MAGALIA,CA,95954,13634 W PARK DR MAGALIA,67
68,13503 S PARK DR MAGALIA CA 95954,Destroyed (>50%),,Leon,,,13503 S PARK DR,MAGALIA,CA,95954,13503 S PARK DR MAGALIA,68
69,5268 SCOTTWOOD RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,5268 SCOTTWOOD RD,PARADISE,CA,95969,5268 SCOTTWOOD RD PARADISE,69
70,737 CAMELLIA DR PARADISE CA 95969,Destroyed (>50%),,Leon,,,737 CAMELLIA DR,PARADISE,CA,95969,737 CAMELLIA DR PARADISE,70
71,5955 HAZEL WAY PARADISE CA 95969,Destroyed (>50%),,Leon,,,5955 HAZEL WAY,PARADISE,CA,95969,5955 HAZEL WAY PARADISE,71
72,5220 CALIFORNIA WAY PARADISE CA 95969,Destroyed (>50%),,Leon,,,5220 CALIFORNIA WAY,PARADISE,CA,95969,5220 CALIFORNIA WAY PARADISE,72
73,5951 N LIBBY RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,5951 N LIBBY RD,PARADISE,CA,95969,5951 N LIBBY RD PARADISE,73
74,5436 CLARK RD #24 PARADISE CA 95969,Destroyed (>50%),,Leon,,,5436 CLARK RD #24,PARADISE,CA,95969,5436 CLARK RD #24 PARADISE,74
75,1525MOR-DELL RD PARADISE CA 95069,Destroyed (>50%),,Jasmine,,,1525MOR-DELL RD,PARADISE,CA,95069,1525MOR-DELL RD PARADISE,75
76,5602 FOLAND RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,5602 FOLAND RD,PARADISE,CA,95969,5602 FOLAND RD PARADISE,76
77,1115 NUNNELEY RD PARADISE CA 95969,Destroyed (>50%),,Jasmine,,,1115 NUNNELEY RD,PARADISE,CA,95969,1115 NUNNELEY RD PARADISE,77
78,1209 LURENA LN PARADISE CA 95969,Destroyed (>50%),,Jasmine,,,1209 LURENA LN,PARADISE,CA,95969,1209 LURENA LN PARADISE,78
79,13574 ANDOVER DR MAGALIA CA 95954,Destroyed (>50%),,Jasmine,,,13574 ANDOVER DR,MAGALIA,CA,95954,13574 ANDOVER DR MAGALIA,79
80,6615 GRANDVIEW AVE MAGALIA CA 95954,,no data,Jasmine,,,6615 GRANDVIEW AVE,MAGALIA,CA,95954,6615 GRANDVIEW AVE MAGALIA,80
81,14094 TEMPLE CIR MAGALIA CA 95954,,*difficult to assess,Jasmine,,,14094 TEMPLE CIR,MAGALIA,CA,95954,14094 TEMPLE CIR MAGALIA,81
82,1427 STONEHURST DR PARADISE CA 95969,Destroyed (>50%),,Jasmine,,,1427 STONEHURST DR,PARADISE,CA,95969,1427 STONEHURST DR PARADISE,82
83,14723 CARNEGIE RD MAGALIA CA 95954,,No data,Jasmine,,,14723 CARNEGIE RD,MAGALIA,CA,95954,14723 CARNEGIE RD MAGALIA,83
84,1466 JONES LN PARADISE CA 95969,Destroyed (>50%),,Leon,,,1466 JONES LN,PARADISE,CA,95969,1466 JONES LN PARADISE,84
85,1761 SILVERTHERNE LN PARADISE CA 95969,Destroyed (>50%),,Leon,,,1761 SILVERTHERNE LN,PARADISE,CA,95969,1761 SILVERTHERNE LN PARADISE,85
86,6242 PUEBLO DR MAGALIA CA 95954,Destroyed (>50%),,Leon,,,6242 PUEBLO DR,MAGALIA,CA,95954,6242 PUEBLO DR MAGALIA,86
87,1818 APPLE VIEW WAY PARADISE CA 95969,Destroyed (>50%),,Leon,,,1818 APPLE VIEW WAY,PARADISE,CA,95969,1818 APPLE VIEW WAY PARADISE,87
88,14063 TEMPLE CIR MAGALIA CA 95954,No Visible Damage,,Leon,,,14063 TEMPLE CIR,MAGALIA,CA,95954,14063 TEMPLE CIR MAGALIA,88
89,14196 DECATUR DR MAGALIA CA 95954,No Visible Damage,,Leon,,,14196 DECATUR DR,MAGALIA,CA,95954,14196 DECATUR DR MAGALIA,89
90,13762 GRANADA DR MAGALIA CA 95954,Destroyed (>50%),,Leon,,,13762 GRANADA DR,MAGALIA,CA,95954,13762 GRANADA DR MAGALIA,90
91,1349 TAYLOR LN PARADISE CA 95969,Destroyed (>50%),,Leon,,,1349 TAYLOR LN,PARADISE,CA,95969,1349 TAYLOR LN PARADISE,91
92,5554 MARK LN PARADISE CA 95969,Destroyed (>50%),,Leon,,,5554 MARK LN,PARADISE,CA,95969,5554 MARK LN PARADISE,92
93,14012 DREXEL DR MAGALIA CA 95954,No Visible Damage,,Leon,,,14012 DREXEL DR,MAGALIA,CA,95954,14012 DREXEL DR MAGALIA,93
94,1040 buschmaN RD #54 PARADISE CA 95969,,No such an address,Leon,,,1040 buschmaN RD #54,PARADISE,CA,95969,1040 buschmaN RD #54 PARADISE,94
95,1239 ELLIOT RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,1239 ELLIOT RD,PARADISE,CA,95969,1239 ELLIOT RD PARADISE,95
96,14401 CARNEGIE RD MAGALIA CA 95954,,No data,Leon,,,14401 CARNEGIE RD,MAGALIA,CA,95954,14401 CARNEGIE RD MAGALIA,96
97,14060 WYCLIFF WAY MAGALIA CA 95954,No Visible Damage,,Leon,,,14060 WYCLIFF WAY,MAGALIA,CA,95954,14060 WYCLIFF WAY MAGALIA,97
98,6 PHEASANT RIDGE CT PARADISE CA 95969,Destroyed (>50%),,Leon,,,6 PHEASANT RIDGE CT,PARADISE,CA,95969,6 PHEASANT RIDGE CT PARADISE,98
99,1383 BILLE RD PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,1383 BILLE RD,PARADISE,CA,95969,1383 BILLE RD PARADISE,99
100,6323 FOREST LN PARADISE CA 95969,Destroyed (>50%),residential,Ryan,,,6323 FOREST LN,PARADISE,CA,95969,6323 FOREST LN PARADISE,100
101,1441 KILCREASE CIR PARADISE CA 95969,Destroyed (>50%),,Leon,,,1441 KILCREASE CIR,PARADISE,CA,95969,1441 KILCREASE CIR PARADISE,101
102,5489 S LIBBY RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,5489 S LIBBY RD,PARADISE,CA,95969,5489 S LIBBY RD PARADISE,102
103,6456 RANGEr CT MAGALIA CA 95954,Destroyed (>50%),should be Ranger CT.,Leon,,,6456 RANGEr CT,MAGALIA,CA,95954,6456 RANGEr CT MAGALIA,103
104,5565 TRAVIS RD PARADISE CA 95969,No Visible Damage,,Leon,,,5565 TRAVIS RD,PARADISE,CA,95969,5565 TRAVIS RD PARADISE,104
105,1368 WAGSTAFF RD #A PARIDISE CA 95969,Destroyed (>50%),,Leon,,,1368 WAGSTAFF RD #A,PARIDISE,CA,95969,1368 WAGSTAFF RD #A PARIDISE,105
106,6222 SALK CT MAGALIA CA 95954,Destroyed (>50%),,Leon,,,6222 SALK CT,MAGALIA,CA,95954,6222 SALK CT MAGALIA,106
107,6107 CLARK RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,6107 CLARK RD,PARADISE,CA,95969,6107 CLARK RD PARADISE,107
108,6545 LUCKY JOHN RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,6545 LUCKY JOHN RD,PARADISE,CA,95969,6545 LUCKY JOHN RD PARADISE,108
109,6107 CLARK RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,6107 CLARK RD,PARADISE,CA,95969,6107 CLARK RD PARADISE,109
110,1019 MAPLE PARK DR PARADISE CA 95969,Destroyed (>50%),,Leon,,,1019 MAPLE PARK DR,PARADISE,CA,95969,1019 MAPLE PARK DR PARADISE,110
111,895 BILLE RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,895 BILLE RD,PARADISE,CA,95969,895 BILLE RD PARADISE,111
112,13880 NIMSHEW RD MAGALIA CA 95954,,no data,Leon,,,13880 NIMSHEW RD,MAGALIA,CA,95954,13880 NIMSHEW RD MAGALIA,112
113,5476 SCOTTWOOD RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,5476 SCOTTWOOD RD,PARADISE,CA,95969,5476 SCOTTWOOD RD PARADISE,113
114,5996 SAWMILL RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,5996 SAWMILL RD,PARADISE,CA,95969,5996 SAWMILL RD PARADISE,114
115,14360 SKWY #A9 MAGALIA CA 95954,No Visible Damage,,Leon,,,14360 SKWY #A9,MAGALIA,CA,95954,14360 SKWY #A9 MAGALIA,115
116,703 FIR ST PARADISE CA 95969,Destroyed (>50%),???,Leon,,,703 FIR ST,PARADISE,CA,95969,703 FIR ST PARADISE,116
117,6656 PENTZ RD #37 PARADISE CA 95969,Destroyed (>50%),,Leon,,,6656 PENTZ RD #37,PARADISE,CA,95969,6656 PENTZ RD #37 PARADISE,117
118,1230 ELLIOTT RD #26 PARADISE CA 95969,No Visible Damage,,Leon,,,1230 ELLIOTT RD #26,PARADISE,CA,95969,1230 ELLIOTT RD #26 PARADISE,118
119,3837 NEAL RD PARADISE CA 95969-5717,Destroyed (>50%),,Leon,,,3837 NEAL RD PARADISE CA,9,CA,-5717,3837 NEAL RD PARADISE CA 9,119
120,1040 BUSCHMANN RD #53 PARADISE CA 95969,Destroyed (>50%),,Leon,,,1040 BUSCHMANN RD #53,PARADISE,CA,95969,1040 BUSCHMANN RD #53 PARADISE,120
121,5393 SAWMILL RD #34 PARADISE CA 95969,Destroyed (>50%),,Leon,,,5393 SAWMILL RD #34,PARADISE,CA,95969,5393 SAWMILL RD #34 PARADISE,121
122,14806 WILDLIFE DR MAGALIA CA 95954,,No data,Leon,,,14806 WILDLIFE DR,MAGALIA,CA,95954,14806 WILDLIFE DR MAGALIA,122
123,5263 COUNTRY CLUB DR PARADISE CA 95969,Destroyed (>50%),,Leon,,,5263 COUNTRY CLUB DR,PARADISE,CA,95969,5263 COUNTRY CLUB DR PARADISE,123
124,61 VISTA VILLAGE DR PARADISE CA 95969,Destroyed (>50%),,Leon,,,61 VISTA VILLAGE DR,PARADISE,CA,95969,61 VISTA VILLAGE DR PARADISE,124
125,6082 DANA CIR MAGALIA CA 95954,,No data,Leon,,,6082 DANA CIR,MAGALIA,CA,95954,6082 DANA CIR MAGALIA,125
126,1470 BAILEY LN PARADISE CA 95969,Destroyed (>50%),,Leon,,,1470 BAILEY LN,PARADISE,CA,95969,1470 BAILEY LN PARADISE,126
127,685 MEMORIAL WAY PARADISE CA 95969,Destroyed (>50%),,Leon,,,685 MEMORIAL WAY,PARADISE,CA,95969,685 MEMORIAL WAY PARADISE,127
128,5889 OAKMORE DR PARADISE CA 95969,Destroyed (>50%),,Leon,,,5889 OAKMORE DR,PARADISE,CA,95969,5889 OAKMORE DR PARADISE,128
129,14711 WOOD ST MAGALIA CA 95954,No Visible Damage,Ambiguous address,Leon,,,14711 WOOD ST,MAGALIA,CA,95954,14711 WOOD ST MAGALIA,129
130,1629 PARADISEWOOD DR PARADISE CA 95969,Destroyed (>50%),,Leon,,,1629 PARADISEWOOD DR,PARADISE,CA,95969,1629 PARADISEWOOD DR PARADISE,130
131,5889 OAKMORE DR PARADISE CA 95969,Destroyed (>50%),,Leon,,,5889 OAKMORE DR,PARADISE,CA,95969,5889 OAKMORE DR PARADISE,131
132,5975 MAXWELL DR #30 PARADISE CA 95969,Destroyed (>50%),,Leon,,,5975 MAXWELL DR #30,PARADISE,CA,95969,5975 MAXWELL DR #30 PARADISE,132
133,6173 SAWMILL RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,6173 SAWMILL RD,PARADISE,CA,95969,6173 SAWMILL RD PARADISE,133
134,2226 HONEY RUN RD CHICO CA 95928,No Visible Damage,,Leon,,,2226 HONEY RUN RD,CHICO,CA,95928,2226 HONEY RUN RD CHICO,134
135,5630 EVES LN CHICO CA 95928,Destroyed (>50%),,Leon,,,5630 EVES LN,CHICO,CA,95928,5630 EVES LN CHICO,135
136,5269 S LIBBY RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,5269 S LIBBY RD,PARADISE,CA,95969,5269 S LIBBY RD PARADISE,136
137,661 ELLIOTT RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,661 ELLIOTT RD,PARADISE,CA,95969,661 ELLIOTT RD PARADISE,137
138,1835 ARROWHEAD DR PARADISE CA 95969,Destroyed (>50%),,Leon,,,1835 ARROWHEAD DR,PARADISE,CA,95969,1835 ARROWHEAD DR PARADISE,138
139,823 THOMASSON LN PARADISE CA 95969,Destroyed (>50%),,Leon,,,823 THOMASSON LN,PARADISE,CA,95969,823 THOMASSON LN PARADISE,139
140,1621 GATE LN PARADISE CA 95969,Destroyed (>50%),,Leon,,,1621 GATE LN,PARADISE,CA,95969,1621 GATE LN PARADISE,140
141,6786 INDIAN DR #B MAGALIA CA 95954,Destroyed (>50%),,Leon,,,6786 INDIAN DR #B,MAGALIA,CA,95954,6786 INDIAN DR #B MAGALIA,141
142,14709 HOLMWOOD DR MAGALIA CA 95954,,No data,Leon,,,14709 HOLMWOOD DR,MAGALIA,CA,95954,14709 HOLMWOOD DR MAGALIA,142
143,1774 SILVERTHORNE AVE PARADISE CA 95969,Destroyed (>50%),,Leon,,,1774 SILVERTHORNE AVE,PARADISE,CA,95969,1774 SILVERTHORNE AVE PARADISE,143
144,916 PEARSON RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,916 PEARSON RD,PARADISE,CA,95969,916 PEARSON RD PARADISE,144
145,3859 HONEY RUN RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,3859 HONEY RUN RD,PARADISE,CA,95969,3859 HONEY RUN RD PARADISE,145
146,6185 BERKSHIRE WAY PARADISE CA 95969,Destroyed (>50%),,Leon,,,6185 BERKSHIRE WAY,PARADISE,CA,95969,6185 BERKSHIRE WAY PARADISE,146
147,14647 BRIDGEPORT CIR MAGALIA CA 95954,,No data,Leon,,,14647 BRIDGEPORT CIR,MAGALIA,CA,95954,14647 BRIDGEPORT CIR MAGALIA,147
148,5401 SAWMILL RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,5401 SAWMILL RD,PARADISE,CA,95969,5401 SAWMILL RD PARADISE,148
149,6288 SKWY PARADISE CA 95969,No Visible Damage,,Leon,,,6288 SKWY,PARADISE,CA,95969,6288 SKWY PARADISE,149
150,6438 PERRY RD MAGAILA CA 95954,,No data,Leon,,,6438 PERRY RD,MAGAILA,CA,95954,6438 PERRY RD MAGAILA,150
151,14360 SKWY #C8 MAGALIA CA 95954,No Visible Damage,,Bob,,,14360 SKWY #C8,MAGALIA,CA,95954,14360 SKWY #C8 MAGALIA,151
152,14360 SKWY #C8 MAGALIA CA 95954,,duplicated same address as 151,Bob,,,14360 SKWY #C8,MAGALIA,CA,95954,14360 SKWY #C8 MAGALIA,152
153,6438 PERRY RD MAGAILA CA 95954,,Data is not ready ,Jimmy,,,6438 PERRY RD,MAGAILA,CA,95954,6438 PERRY RD MAGAILA,153
154,350 STARLIGHT CT PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,350 STARLIGHT CT,PARADISE,CA,95969,350 STARLIGHT CT PARADISE,154
155,XXX Paradise CA 12345,,"Invalid Address Entry, No way to verify",Jimmy,,,XXX,Paradise,CA,12345,XXX Paradise,155
156,4906 FOSTER RD PARADISE CA 95969,No Visible Damage,,Jimmy,,,4906 FOSTER RD,PARADISE,CA,95969,4906 FOSTER RD PARADISE,156
157,13511 ADRIAN DR MAGALIA CA 95954,Destroyed (>50%),,Jimmy,,,13511 ADRIAN DR,MAGALIA,CA,95954,13511 ADRIAN DR MAGALIA,157
158,13511 ADRIAN DR MAGALIA CA 95954,,duplicated same address as #157,Jimmy,,,13511 ADRIAN DR,MAGALIA,CA,95954,13511 ADRIAN DR MAGALIA,158
